Date,Open,High,Low,Close,Volume BTC,Volume USDT,Volume USDT mil
1/9/2020,8055.98,8055.98,7852.01,7886.92,22669.07,180145358.7,180.1453587
1/8/2020,8145.28,8455,7870,8055.98,100231.74,824509605.4,824.5096054
1/7/2020,7758,8207.68,7723.71,8145.28,81794.92,649686677.7,649.6866777
1/6/2020,7358.75,7795.34,7346.76,7758,49697.96,375953464.6,375.9534646
1/5/2020,7354.11,7495,7318,7358.75,34999.35,260108976.8,260.1089768
1/4/2020,7344.96,7404,7272.21,7354.11,27821.23,203985069.8,203.9850698
1/3/2020,6965.71,7405,6871.04,7344.96,61732.73,446708892.2,446.7088922
1/2/2020,7200.85,7212.5,6924.74,6965.71,28711.23,203113593.6,203.1135936
1/1/2020,7195.23,7255,7175.15,7200.85,15863.73,114510187,114.510187
12/31/2019,7246,7320,7145.01,7195.23,24256.85,175254678.7,175.2546787
12/30/2019,7388.24,7408.24,7220,7246,27565.74,201597036.8,201.5970368
12/29/2019,7316.14,7528.45,7288,7388.24,29020.09,214230169.8,214.2301698
12/28/2019,7254.74,7365.01,7238.67,7316.14,25071.48,183325442.7,183.3254427
12/27/2019,7202,7275.86,7076.42,7254.74,30768.07,221540289.1,221.5402891
12/26/2019,7204.63,7435,7157.12,7202,33167.16,240801175.8,240.8011758
12/25/2019,7255.77,7271.77,7128.86,7204.63,25457.83,183604082.8,183.6040828
12/24/2019,7317.09,7436.68,7157.04,7255.77,39505.57,288361632.7,288.3616327
12/23/2019,7501.44,7695.38,7265.84,7317.09,60987.27,457728969.9,457.7289699
12/22/2019,7132.75,7518.54,7122.47,7501.44,35292.5,257466562.3,257.4665623
12/21/2019,7187.83,7190.58,7105,7132.75,18190.18,129946909.3,129.9469093
12/20/2019,7150.3,7220,7079.5,7187.83,29759.82,212871398.4,212.8713984
12/19/2019,7277.83,7380,7038.31,7150.3,50624.1,362421773.7,362.4217737
12/18/2019,6623.82,7440,6435,7277.83,85595.89,585228255.8,585.2282558
12/17/2019,6891.72,6942.21,6560,6623.82,48961.97,331013406.3,331.0134063
12/16/2019,7118.59,7150,6836,6891.72,39497.8,276979882.7,276.9798827
12/15/2019,7064.05,7200.3,7008.35,7118.59,24422.47,173388488.8,173.3884888
12/14/2019,7258.48,7271.77,7012,7064.05,27222.69,194322690,194.32269
12/13/2019,7198.08,7309.05,7190.76,7258.48,25590.86,185220243.8,185.2202438
12/12/2019,7210,7295,7080.3,7198.08,38744.76,278210361,278.210361
12/11/2019,7224.13,7275.5,7125.66,7210,27874.05,201092209.9,201.0922099
12/10/2019,7338.64,7407.6,7157.1,7224.13,45187.19,330005517.3,330.0055173
12/9/2019,7510.11,7650,7273,7338.64,42385.3,315932460.7,315.9324607
12/8/2019,7488.21,7564,7374.86,7510.11,27712.74,207276549.7,207.2765497
12/7/2019,7527.47,7619.62,7470.16,7488.21,29505.47,221999827.1,221.9998271
12/6/2019,7389,7590.03,7305,7527.47,44263.35,327777514.6,327.7775146
12/5/2019,7194.32,7485,7150,7389,54542.99,399811623.8,399.8116238
12/4/2019,7292.71,7750,7067,7194.32,75289.06,550966803.5,550.9668035
12/3/2019,7294.28,7400,7241.35,7292.71,30874.84,225746865.3,225.7468653
12/2/2019,7390.89,7420.56,7151.1,7294.28,42953.43,313290088.2,313.2900882
12/1/2019,7541.89,7541.89,7210,7390.89,55963.07,411216078.9,411.2160789
11/30/2019,7739.68,7810,7441,7541.89,43649.46,333265298.1,333.2652981
11/29/2019,7419.49,7850,7362.3,7739.68,55883.83,425900041.9,425.9000419
11/28/2019,7508.52,7643,7360,7419.49,52819.31,396692521,396.692521
11/27/2019,7156.14,7655,6840,7508.52,83809.93,608828576.2,608.8285762
11/26/2019,7109.57,7340,7017.48,7156.14,60968.73,435622913.5,435.6229135
11/25/2019,6903.28,7377.69,6515,7109.57,108525.89,754412574.3,754.4125743
11/24/2019,7311.57,7330.39,6861,6903.28,62299.87,442318585.4,442.3185854
11/23/2019,7268.23,7344.48,7080.01,7311.57,47009.84,339596066.1,339.5960661
11/22/2019,7627.74,7750,6790,7268.23,112866.99,818575809.3,818.5758093
11/21/2019,8098.01,8134.73,7500,7627.74,53008.6,413133154.8,413.1331548
11/20/2019,8133.64,8264.29,8038.4,8098.01,30269.17,245542079.6,245.5420796
11/19/2019,8187.17,8218.63,8003,8133.64,40268.68,326811716.6,326.8117166
11/18/2019,8502.4,8503.52,8060,8187.17,39467.55,329185066.7,329.1850667
11/17/2019,8491.02,8635,8350.68,8502.4,24922.3,212250256.8,212.2502568
11/16/2019,8471.73,8543,8400,8491.02,19627.54,166423651.5,166.4236515
11/15/2019,8646.68,8790,8400,8471.73,42189.03,361320610.3,361.3206103
11/14/2019,8777.12,8800,8582.6,8646.68,30941.25,268210060.8,268.2100608
11/13/2019,8821.94,8844.99,8702,8777.12,25115.33,220199619.9,220.1996199
11/12/2019,8733.27,8888,8567.6,8821.94,37072.73,323934400.7,323.9344007
11/11/2019,9039.47,9072.32,8618.68,8733.27,41436.65,364270120.4,364.2701204
11/10/2019,8809.41,9147.19,8750,9039.47,31595.96,282028213,282.028213
11/9/2019,8773.73,8880,8724.88,8809.41,27538.74,242717611.1,242.7176111
11/8/2019,9216.2,9261,8696,8773.73,56517.43,505609298.4,505.6092984
11/7/2019,9339.05,9375,9101,9216.2,28015.56,258787229.6,258.7872296
