,Open,High,Low,Close,Volume BTC,Volume USDT mil,Open_b_1,High_b_1,Low_b_1,Close_b_1,Volume_(BTC)_b_1,Volume_(Currency)_b_1
638,7795.51,8109.0,7728.0,7949.3,24866.87,197.0139571,7949.3,7975.0,6941.11,7090.14,49271.03,366.3089426
639,8134.23,8215.94,7730.0,7795.51,34554.36,274.7668661,7795.51,8109.0,7728.0,7949.3,24866.87,197.0139571
640,8470.15,8514.89,7831.0,8134.23,39920.48,325.0683754,8134.23,8215.94,7730.0,7795.51,34554.36,274.7668661
641,8546.86,8669.85,8365.77,8470.15,27184.64,231.55804390000003,8470.15,8514.89,7831.0,8134.23,39920.48,325.0683754
642,8898.03,8999.95,8491.0,8546.86,33068.56,292.11510649999997,8546.86,8669.85,8365.77,8470.15,27184.64,231.55804390000003
643,8722.9,8909.0,8269.0,8898.03,36943.0,314.8070171,8898.03,8999.95,8491.0,8546.86,33068.56,292.11510649999997
644,8885.0,9100.0,8465.1,8722.9,37296.04,325.8795189,8722.9,8909.0,8269.0,8898.03,36943.0,314.8070171
645,8909.98,9177.01,8750.6,8885.0,36819.81,329.96765899999997,8885.0,9100.0,8465.1,8722.9,37296.04,325.8795189
646,8600.0,9050.0,8280.0,8909.98,41477.45,358.5109599,8909.98,9177.01,8750.6,8885.0,36819.81,329.96765899999997
647,8189.99,8705.23,8088.4,8600.0,49737.89,416.0443787,8600.0,9050.0,8280.0,8909.98,41477.45,358.5109599
648,7824.8,8317.4,7322.0,8189.99,52990.19,407.8525775,8189.99,8705.23,8088.4,8600.0,49737.89,416.0443787
649,8260.0,8348.62,7721.99,7824.8,30758.47,247.0935981,7824.8,8317.4,7322.0,8189.99,52990.19,407.8525775
650,8240.98,8611.64,7900.0,8260.0,35584.81,295.4986669,8260.0,8348.62,7721.99,7824.8,30758.47,247.0935981
651,8170.0,8430.0,7650.0,8240.98,46635.96,376.4090623,8240.98,8611.64,7900.0,8260.0,35584.81,295.4986669
652,9150.0,9333.78,7900.28,8170.0,44449.41,381.4212261,8170.0,8430.0,7650.0,8240.98,46635.96,376.4090623
653,9131.34,9474.0,8823.0,9150.0,36864.04,336.97558250000003,9150.0,9333.78,7900.28,8170.0,44449.41,381.4212261
654,9533.57,9888.88,8780.0,9131.22,37368.44,350.201106,9131.34,9474.0,8823.0,9150.0,36864.04,336.97558250000003
655,8770.22,9739.18,8450.0,9533.57,40514.46,368.6691272,9533.57,9888.88,8780.0,9131.22,37368.44,350.201106
656,9227.0,9490.0,8667.07,8770.22,34235.3,314.23852880000004,8770.22,9739.18,8450.0,9533.57,40514.46,368.6691272
657,9271.64,9410.0,8329.0,9227.0,58314.31,515.9735049999999,9227.0,9490.0,8667.07,8770.22,34235.3,314.23852880000004
658,9910.0,10099.0,9060.0,9271.64,37156.84,357.07785939999997,9271.64,9410.0,8329.0,9227.0,58314.31,515.9735049999999
659,10716.48,10899.0,9389.31,9910.0,42833.84,436.48590260000003,9910.0,10099.0,9060.0,9271.64,37156.84,357.07785939999997
660,11454.0,11455.0,10555.48,10716.48,27488.54,301.5798386,10716.48,10899.0,9389.31,9910.0,42833.84,436.48590260000003
661,11515.0,11710.0,11415.01,11454.0,14276.07,164.8423619,11454.0,11455.0,10555.48,10716.48,27488.54,301.5798386
